PLAYER_NAME,PLAYER_ID,GAME_DATE,PRA,predicted_PRA,error,abs_error,CTG_Available
Rudy Gobert,203497,2024-10-22,29,20.456678,-8.543322,8.543322,1
Max Christie,1631108,2024-10-22,4,3.393378,-0.606622,0.606622,1
Mike Conley,201144,2024-10-22,11,17.803741,6.8037415,6.8037415,1
Anthony Davis,203076,2024-10-22,56,37.37263,-18.627369,18.627369,1
Donte DiVincenzo,1628978,2024-10-22,16,31.259342,15.259342,15.259342,1
Anthony Edwards,1630162,2024-10-22,36,37.751045,1.7510452,1.7510452,1
Rui Hachimura,1629060,2024-10-22,24,17.916897,-6.083103,6.083103,1
Luke Kornet,1628436,2024-10-22,8,5.3890142,-2.6109858,2.6109858,1
Sam Hauser,1630573,2024-10-22,16,8.086168,-7.9138317,7.9138317,1
Jaxson Hayes,1629637,2024-10-22,14,7.385476,-6.614524,6.614524,1
Al Horford,201143,2024-10-22,19,15.450539,-3.5494614,3.5494614,1
Karl-Anthony Towns,1626157,2024-10-22,22,32.662094,10.662094,10.662094,1
Derrick White,1628401,2024-10-22,31,25.654133,-5.345867,5.345867,1
Nickeil Alexander-Walker,1629638,2024-10-22,19,9.019752,-9.980248,9.980248,1
Jordan Walsh,1641775,2024-10-22,1,3.3539875,2.3539875,2.3539875,1
Jalen Brunson,1628973,2024-10-22,25,39.83683,14.83683,14.83683,1
Jacob Toppin,1631210,2024-10-22,0,3.2821195,3.2821195,3.2821195,0
Jaylen Brown,1627759,2024-10-22,31,32.76236,1.7623596,1.7623596,1
Gabe Vincent,1629216,2024-10-22,6,5.3726826,-0.6273174,0.6273174,1
OG Anunoby,1628384,2024-10-22,12,17.3944,5.3943996,5.3943996,1
Mikal Bridges,1628969,2024-10-22,18,17.195076,-0.804924,0.804924,1
Miles McBride,1630540,2024-10-22,24,17.504816,-6.495184,6.495184,1
LeBron James,2544,2024-10-22,25,44.136158,19.136158,19.136158,1
Jaden McDaniels,1630183,2024-10-22,9,12.234106,3.234106,3.234106,1
Jericho Sims,1630579,2024-10-22,14,4.5568023,-9.443197,9.443197,1
Payton Pritchard,1630202,2024-10-22,11,5.478156,-5.521844,5.521844,1
Neemias Queta,1629674,2024-10-22,0,5.1172533,5.1172533,5.1172533,1
D'Angelo Russell,1626156,2024-10-22,15,20.604155,5.6041546,5.6041546,1
Joe Ingles,204060,2024-10-22,1,3.7726333,2.7726333,2.7726333,1
Jayson Tatum,1628369,2024-10-22,51,38.396305,-12.603695,12.603695,1
Xavier Tillman,1630214,2024-10-22,11,4.203819,-6.796181,6.796181,1
Cameron Payne,1626166,2024-10-22,18,9.521969,-8.478031,8.478031,1
Josh Hart,1628404,2024-10-22,19,25.402758,6.4027576,6.4027576,1
Naz Reid,1629675,2024-10-22,17,16.123585,-0.87641525,0.87641525,1
Jrue Holiday,201950,2024-10-22,26,21.370224,-4.629776,4.629776,1
Kelly Oubre Jr.,1626162,2024-10-23,24,24.865252,0.86525154,0.86525154,0
Donovan Mitchell,1628378,2024-10-23,26,36.830494,10.830494,10.830494,1
Evan Mobley,1630596,2024-10-23,37,29.13942,-7.8605804,7.8605804,1
Dejounte Murray,1627749,2024-10-23,32,37.155926,5.1559258,5.1559258,1
Ja Morant,1629630,2024-10-23,37,36.831425,-0.16857529,0.16857529,1
Monté Morris,1628420,2024-10-23,8,3.737235,-4.262765,4.262765,0
Jalen Smith,1630188,2024-10-23,20,6.70761,-13.29239,13.29239,1
Dru Smith,1630696,2024-10-23,2,4.5494375,2.5494375,2.5494375,1
Ben Sheppard,1641767,2024-10-23,2,7.456606,5.456606,5.456606,1
