TEAM_NAME,PACE,OFF_RATING,DEF_RATING,PTS,REB,AST,OPP_PRA,PACE_DIFF,PACE_CATEGORY
Atlanta Hawks,100.84,116.4,118.4,118.3,44.7,26.6,189.6,1.690333333333328,Fast
Boston Celtics,97.98,122.2,110.6,120.6,46.3,26.9,193.8,-1.1696666666666715,Slow
Brooklyn Nets,97.56,112.4,115.4,110.4,44.1,25.6,180.1,-1.5896666666666732,Slow
Charlotte Hornets,97.81,108.6,119.2,106.6,40.3,24.8,171.7,-1.3396666666666732,Slow
Chicago Bulls,96.94,114.0,115.7,112.3,43.8,25.0,181.1,-2.2096666666666778,Slow
Cleveland Cavaliers,97.62,114.7,112.1,112.6,43.3,28.0,183.9,-1.529666666666671,Slow
Dallas Mavericks,100.6,117.0,114.9,117.9,42.9,25.7,186.5,1.4503333333333188,Fast
Denver Nuggets,97.43,117.8,112.3,114.9,44.4,29.5,188.8,-1.7196666666666687,Slow
Detroit Pistons,100.45,109.0,118.0,109.9,43.3,25.5,178.7,1.3003333333333273,Fast
Golden State Warriors,99.91,116.9,114.5,117.8,46.7,29.3,193.8,0.7603333333333211,Average
Houston Rockets,99.59,113.7,112.8,114.3,45.5,24.8,184.6,0.4403333333333279,Average
Indiana Pacers,102.16,120.5,117.6,123.3,41.5,30.8,195.6,3.010333333333321,Very Fast
LA Clippers,97.93,117.9,114.6,115.6,43.0,25.6,184.2,-1.2196666666666687,Slow
Los Angeles Lakers,101.38,115.4,114.8,118.0,43.1,28.5,189.6,2.23033333333332,Fast
Memphis Grizzlies,98.68,106.8,113.7,105.8,42.6,24.7,173.1,-0.4696666666666687,Average
Miami Heat,96.88,113.3,111.5,110.1,42.3,25.8,178.2,-2.26966666666668,Slow
Milwaukee Bucks,100.51,117.6,115.0,119.0,44.2,26.5,189.7,1.3603333333333296,Fast
Minnesota Timberwolves,97.79,114.6,108.4,113.0,43.6,26.6,183.2,-1.3596666666666692,Slow
New Orleans Pelicans,98.7,116.5,111.9,115.1,44.0,27.0,186.1,-0.44966666666667265,Average
New York Knicks,95.96,117.3,112.4,112.8,45.2,24.4,182.4,-3.1896666666666817,Slow
Oklahoma City Thunder,100.85,118.3,111.0,120.1,42.0,27.1,189.2,1.7003333333333188,Fast
Orlando Magic,97.37,112.9,110.8,110.5,42.3,24.7,177.5,-1.779666666666671,Slow
Philadelphia 76ers,98.17,116.2,113.0,114.6,43.0,24.9,182.5,-0.9796666666666738,Average
Phoenix Suns,99.0,116.8,113.7,116.2,44.1,27.0,187.3,-0.1496666666666755,Average
Portland Trail Blazers,97.88,107.6,116.6,106.4,42.7,23.1,172.20000000000002,-1.26966666666668,Slow
Sacramento Kings,99.46,116.2,114.4,116.6,44.0,28.3,188.9,0.31033333333331825,Average
San Antonio Spurs,101.8,109.3,115.6,112.1,44.2,29.9,186.2,2.6503333333333217,Fast
Toronto Raptors,99.91,111.8,118.1,112.4,42.7,28.5,183.6,0.7603333333333211,Average
Utah Jazz,100.26,114.5,119.6,115.7,45.5,27.2,188.4,1.1103333333333296,Fast
Washington Wizards,103.07,110.2,118.9,113.7,41.1,27.9,182.7,3.9203333333333177,Very Fast
