event_date,home_team,away_team,player_name,bookmaker,line,over_price,under_price,timestamp
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,betonlineag,27.5,-115.0,-112.0,2025-10-20T14:32:14.076366
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,23.5,-260.0,190.0,2025-10-20T14:32:14.075455
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,24.5,-210.0,155.0,2025-10-20T14:32:14.075466
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,25.5,-170.0,130.0,2025-10-20T14:32:14.075478
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,26.5,-135.0,105.0,2025-10-20T14:32:14.075489
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,27.5,-115.0,-115.0,2025-10-20T14:32:14.075501
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,28.5,105.0,-135.0,2025-10-20T14:32:14.075512
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,29.5,125.0,-165.0,2025-10-20T14:32:14.075523
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,30.5,150.0,-200.0,2025-10-20T14:32:14.075536
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,31.5,175.0,-240.0,2025-10-20T14:32:14.075548
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,bovada,32.5,210.0,-290.0,2025-10-20T14:32:14.075560
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,draftkings,27.5,-124.0,-105.0,2025-10-20T14:32:14.075327
2025-10-22,Atlanta Hawks,Toronto Raptors,Brandon Ingram,fanduel,27.5,-112.0,-118.0,2025-10-20T14:32:14.075420
2025-10-22,Atlanta Hawks,Toronto Raptors,Dyson Daniels,betonlineag,22.5,-114.0,-114.0,2025-10-20T14:32:14.076354
2025-10-22,Atlanta Hawks,Toronto Raptors,Dyson Daniels,bovada,18.5,-290.0,210.0,2025-10-20T14:32:14.075572
2025-10-22,Atlanta Hawks,Toronto Raptors,Dyson Daniels,bovada,19.5,-220.0,165.0,2025-10-20T14:32:14.075583
2025-10-22,Atlanta Hawks,Toronto Raptors,Dyson Daniels,bovada,20.5,-180.0,135.0,2025-10-20T14:32:14.075595
2025-10-22,Atlanta Hawks,Toronto Raptors,Dyson Daniels,bovada,21.5,-145.0,110.0,2025-10-20T14:32:14.075607
2025-10-22,Atlanta Hawks,Toronto Raptors,Dyson Daniels,bovada,22.5,-115.0,-115.0,2025-10-20T14:32:14.075618
