feature,importance
DK_POINTS,0.62363327
FANTASY_PTS,0.19835784
FD_POINTS,0.054562602
FGM,0.02969346
PRA_L5_mean,0.01321151
PRA_lag1,0.012387595
PRA_ewma5,0.011116673
STL,0.00835574
PRA_lag3,0.0072265565
FTM,0.005094292
BLK,0.005021866
FGA,0.004673384
FTA,0.0038206456
days_rest,0.0028912805
TOV,0.0023124185
FG3M,0.0022907269
games_last_7d,0.002271822
DREB,0.0012241593
FG3A,0.0011503294
FG3_PCT,0.0011274973
is_b2b,0.00080500107
FT_PCT,0.00057491544
PTS_L5_std,0.00055650086
OREB,0.00049570436
AST_ewma5,0.0002702143
PTS_lag1,0.0001977318
AST_L5_mean,0.00019184686
ftDR% Rank,0.00018583899
REB_lag1,0.00017120548
AST_lag1,0.0001674264
REB_L5_mean,0.00016355517
SFLD% Rank,0.00015743126
AST_L20_mean,0.00014101245
AST_ewma10,0.00014075142
AST_L10_mean,0.00013487434
REB_ewma15,0.0001337672
AST_lag3,0.00011408458
AST_ewma15,0.0001048294
REB_ewma5,0.0001020756
FG_PCT,0.00010059074
eFG% Rank_team_shooting_accuracy,9.490264e-05
AST_L10_std,9.486226e-05
AST_lag7,9.22055e-05
PTS_ewma5,8.943586e-05
AST_lag5,8.859913e-05
TEAM FG%: Non Corner Rank,8.751062e-05
FG_PCT_L20_std,8.5357264e-05
PRA_L5_std,8.5131775e-05
eFG% Rank,8.217558e-05
TEAM FG%: Short Mid Rank,8.1960345e-05
MIN_L10_mean,7.9197904e-05
PRA_ewma10,7.794965e-05
MIN_lag1,7.646001e-05
PTS_L20_std,7.624365e-05
REB_lag7,7.568058e-05
fgDR% Rank,7.4460164e-05
FG_PCT_L5_std,7.313298e-05
REB_L20_mean,7.1087445e-05
REB_lag3,7.087483e-05
PTS_L20_mean,7.039767e-05
VIDEO_AVAILABLE,6.7448265e-05
AST_L20_std,6.35926e-05
AST_lag10,6.25664e-05
PTS_ewma15,6.237601e-05
REB_L20_std,6.149837e-05
PTS_lag10,6.122132e-05
opp_allowed_AST_L10,6.097169e-05
ftOR% Rank,6.057473e-05
MIN_L10_std,5.9273785e-05
PTS_lag3,5.8818932e-05
PTS_L5_mean,5.8428595e-05
PRA_trend,5.6377437e-05
REB_L10_std,5.4409444e-05
PRA_L10_std,5.3863554e-05
REB_lag5,5.211804e-05
CTG_MIN,5.1939707e-05
MIN_lag3,5.089586e-05
AST_L5_std,5.0103892e-05
FG_PCT_L10_mean,4.8921e-05
PRA_lag7,4.8819817e-05
MIN_L5_std,4.792524e-05
opp_allowed_REB_L10,4.7901274e-05
MIN,4.6904453e-05
STL% Rank,4.605479e-05
fgOR% Rank,4.509511e-05
MIN_ewma10,4.496727e-05
PRA_lag10,4.3862005e-05
BLK% Rank,4.3697597e-05
PLUS_MINUS,4.254478e-05
opp_allowed_PRA_L10,4.1227933e-05
PRA_L20_std,4.1213545e-05
Age,4.0286017e-05
AND1% Rank,4.001552e-05
PRA_lag5,3.9196828e-05
SEASON_ID,3.8497456e-05
Rim Rank,3.8409762e-05
PTS_L10_std,3.8185488e-05
FG_PCT_L20_mean,3.7684e-05
MIN_lag7,3.7249905e-05
FG_PCT_L5_mean,3.6838566e-05
REB_ewma10,3.6291593e-05
REB_L5_std,3.592093e-05
PTS_lag7,3.5468016e-05
All Three Rank,3.5415655e-05
Non Corner Rank,3.442083e-05
MIN_lag5,3.3985616e-05
MIN_trend,3.352007e-05
REB_trend,3.300776e-05
MIN_L20_std,3.284797e-05
PTS_lag5,3.2573822e-05
TEAM FG%: All Mid Rank,3.23535e-05
PTS_ewma10,3.1989854e-05
MIN_ewma5,3.180883e-05
AST_trend,3.177645e-05
Short Mid Rank,3.1053245e-05
PRA_ewma15,3.06189e-05
FFLD% Rank,3.0373227e-05
TEAM FG%: Long Mid Rank,2.9740942e-05
MIN_lag10,2.916319e-05
Long Mid Rank,2.8171642e-05
PTS_trend,2.7354552e-05
PF,2.7190716e-05
MIN_L5_mean,2.609642e-05
PTS_L10_mean,2.5622818e-05
FT% Rank,2.4480034e-05
opp_allowed_PTS_L10,2.428102e-05
TEAM FG%: Corner Three Rank,2.4175895e-05
MIN_ewma15,2.3328066e-05
PRA_L20_mean,2.2701903e-05
Corner Three Rank,2.2460514e-05
FG_PCT_L10_std,2.0936033e-05
All Mid Rank,2.0281703e-05
MIN_L20_mean,2.0026255e-05
REB_L10_mean,1.9684916e-05
FOUL% Rank,1.7925231e-05
REB_lag10,1.5745127e-05
PRA_L10_mean,1.549871e-05
TEAM FG%: All Three Rank,1.3324826e-05
TEAM FG%: Rim Rank,1.3063284e-05
IS_HOME,2.7574933e-06
