feature,importance
PRA_ewma10,0.47441617
PRA_L20_mean,0.18426037
PRA_ewma5,0.08686687
PRA_L5_mean,0.022641001
PRA_L10_mean,0.02007681
CTG_USG,0.0090524405
MIN,0.008830438
MIN_avg,0.0077374005
PRA_per_36,0.007653317
CTG_PSA,0.0064163134
days_rest,0.006319713
eFG_pct,0.0062547773
MIN_L5_mean,0.0060940753
MIN_lag1,0.0059941728
CTG_eFG,0.0059777293
FGA,0.005976005
TS_pct,0.0057672346
CTG_AST_PCT,0.005721266
PTS_per_36,0.0057152975
games_last_7d,0.0056426143
CTG_TOV_PCT,0.0055897473
PER,0.005565174
MIN_L10_mean,0.0055178422
MIN_L20_mean,0.0054733898
PTS_per_shot,0.0053603663
PRA_trend,0.0053572
REB_per_36,0.0053490503
AST_per_36,0.005315372
is_b2b,0.0052848337
PRA_L20_std,0.0051901033
FTA,0.005117093
FG3A,0.00505567
USG_per_36,0.0050345412
FG_PCT,0.0048576565
PRA_L5_std,0.0048063085
MIN_lag7,0.004721215
PRA_L10_std,0.004718383
MIN_lag5,0.0045840796
MIN_lag3,0.0045678294
PRA_lag7,0.0045604506
PRA_lag5,0.004047304
PRA_lag3,0.0038349945
PRA_lag1,0.0026773864
opp_DRtg,0.0
opp_pace,0.0
opp_PRA_allowed,0.0
CTG_REB_PCT,0.0
