feature,importance
FGA,0.455468
PRA_ewma15,0.14337486
MIN,0.122621655
FG_PCT,0.0780483
DREB,0.060936254
FTA,0.04848647
FG3_PCT,0.019761035
OREB,0.013914304
CTG_AST_PCT,0.011824419
FG3A,0.011499944
FT_PCT,0.010155664
PRA_L20_mean,0.00875678
PRA_ewma10,0.002889754
PRA_L10_mean,0.0014284459
CTG_USG,0.0010809493
CTG_REB_PCT,0.0009671522
CTG_PSA,0.00085084874
STL,0.00084649434
MIN_L5_mean,0.0006690146
TOV,0.0006568027
CTG_TOV_PCT,0.00055170344
CTG_eFG,0.00044935875
PRA_ewma5,0.0004483419
BLK,0.00044421907
PRA_L3_mean,0.00036845292
PRA_L5_mean,0.0003662622
PF,0.00034096095
PRA_L20_std,0.00030546694
PRA_lag7,0.00029546733
PRA_L5_std,0.00029537213
PRA_trend_L5_L20,0.00029136645
PRA_L10_std,0.00028657095
PRA_lag10,0.00027654727
PRA_lag1,0.0002655968
PRA_lag5,0.00026113927
PRA_L3_std,0.0002584613
PRA_lag3,0.0002576458
