feature,importance
FGA,0.27099642
PRA_ewma15,0.16854765
MIN,0.13999487
PRA_ewma10,0.11328759
FG_PCT,0.07203917
FT_PCT,0.07049839
DREB,0.058341023
FTA,0.037261795
OREB,0.017486148
FG3_PCT,0.016133247
CTG_AST_PCT,0.01258666
PRA_L20_mean,0.012325516
FG3A,0.0032943343
CTG_USG,0.0017798628
MIN_L5_mean,0.0013888306
STL,0.00125764
CTG_TOV_PCT,0.00084436196
TOV,0.00055920286
CTG_PSA,0.00043366043
PRA_L10_mean,0.00030218542
CTG_eFG,0.00022250098
PRA_ewma5,0.00014700332
PRA_L20_std,0.00014451842
PRA_L5_mean,7.375329e-05
PRA_L3_mean,5.3724187e-05
PRA_L10_std,0.0
PRA_L5_std,0.0
PRA_L3_std,0.0
PRA_lag10,0.0
PRA_trend_L5_L20,0.0
PRA_lag7,0.0
PRA_lag5,0.0
PRA_lag3,0.0
PRA_lag1,0.0
PF,0.0
BLK,0.0
CTG_REB_PCT,0.0
