feature,importance
PRA_ewma10,0.5713436
PRA_ewma15,0.26033482
PRA_ewma5,0.08800524
PRA_L20_mean,0.015602138
Minutes_Projected,0.0117636975
CTG_USG,0.006839719
CTG_PSA,0.004738427
Games_Last7,0.004685831
Days_Rest,0.0045572384
PRA_lag1,0.0043968162
CTG_eFG,0.0035113308
PRA_lag5,0.0028479432
PRA_lag3,0.0026443098
PRA_lag10,0.0021855833
PRA_lag7,0.0019466014
PRA_L10_mean,0.0017363571
PRA_trend_L5_L20,0.0016615357
Is_BackToBack,0.0016410414
PRA_L10_std,0.0014602757
CTG_AST_PCT,0.0012699171
PRA_L3_mean,0.0012403043
CTG_TOV_PCT,0.0012159827
PRA_L20_std,0.0011191963
PRA_L5_mean,0.0010841995
PRA_L5_std,0.0007770661
CTG_REB_PCT,0.00077488663
PRA_L3_std,0.00061596395
